original_track_id,filtered_track_id,frame_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bottom_center_x,bottom_center_y,confidence,court_region_score,size_score,duration_score,final_player_score,keep,rejection_reason
unknown_7,,131,2139.829,185.683,2213.775,346.469,2176.802,266.076,2176.802,346.469,0.3528,0.45,0.1792,1.0,0.5161,False,lower_ranked_player_candidate
unknown_5,,131,2525.833,225.648,2599.542,355.184,2562.688,290.416,2562.6875,355.184,0.3261,0.45,0.1439,1.0,0.5013,False,lower_ranked_player_candidate
unknown_10,,131,394.284,1049.073,571.218,1302.352,482.751,1175.713,482.751,1302.352,0.2986,0.05,0.6754,1.0,0.4361,False,far_outside_court_region
unknown_11,,131,406.223,1053.855,525.035,1287.918,465.629,1170.886,465.629,1287.918,0.2903,0.05,0.4191,1.0,0.3873,False,far_outside_court_region
unknown_8,,131,1410.289,167.699,1471.873,333.185,1441.081,250.442,1441.0810000000001,333.185,0.2884,0.45,0.1536,1.0,0.4909,False,lower_ranked_player_candidate
unknown_12,,131,1917.499,227.63,2003.733,330.978,1960.616,279.304,1960.616,330.978,0.2729,0.45,0.1343,1.0,0.4825,False,lower_ranked_player_candidate
player_2,player_a,132,2245.378,388.287,2316.248,554.724,2280.813,471.505,2280.813,554.724,0.7328,1.0,0.1778,1.0,0.8465,True,
player_1,player_b,132,1283.302,1549.305,1481.539,1925.134,1382.421,1737.22,1382.4205,1925.134,0.7019,0.45,1.0,1.0,0.7756,True,
unknown_4,,132,1727.94,207.478,1830.344,341.896,1779.142,274.687,1779.142,341.896,0.4288,0.45,0.2074,1.0,0.5456,False,lower_ranked_player_candidate
unknown_3,,132,587.875,826.9,854.272,1087.594,721.074,957.247,721.0735,1087.594,0.4244,0.05,1.0,1.0,0.5348,False,far_outside_court_region
unknown_6,,132,1022.781,840.513,1139.967,1005.463,1081.374,922.988,1081.374,1005.463,0.4104,0.45,0.2913,1.0,0.5548,False,lower_ranked_player_candidate
unknown_7,,132,2141.415,183.263,2210.977,345.663,2176.196,264.463,2176.196,345.663,0.3305,0.45,0.1702,1.0,0.5074,False,lower_ranked_player_candidate
unknown_5,,132,2526.827,226.0,2599.446,354.619,2563.137,290.31,2563.1365,354.619,0.3144,0.45,0.1408,1.0,0.4969,False,lower_ranked_player_candidate
unknown_8,,132,1410.605,168.191,1471.891,333.183,1441.248,250.687,1441.248,333.183,0.299,0.45,0.1524,1.0,0.4941,False,lower_ranked_player_candidate
unknown_10,,132,394.826,1049.628,564.138,1303.016,479.482,1176.322,479.482,1303.016,0.2956,0.05,0.6465,1.0,0.43,False,far_outside_court_region
unknown_11,,132,405.978,1054.272,523.988,1288.079,464.983,1171.176,464.98300000000006,1288.079,0.2929,0.05,0.4158,1.0,0.3876,False,far_outside_court_region
unknown_12,,132,1917.432,227.58,2003.47,330.801,1960.451,279.19,1960.451,330.801,0.2526,0.45,0.1338,1.0,0.4759,False,lower_ranked_player_candidate
player_2,player_a,133,2245.539,388.161,2316.302,554.857,2280.921,471.509,2280.9205,554.857,0.7319,1.0,0.1778,1.0,0.8462,True,
player_1,player_b,133,1283.224,1549.059,1481.566,1925.086,1382.395,1737.073,1382.395,1925.086,0.7014,0.45,1.0,1.0,0.7754,True,
unknown_4,,133,1728.0,207.584,1830.294,341.835,1779.147,274.709,1779.147,341.835,0.4259,0.45,0.207,1.0,0.5445,False,lower_ranked_player_candidate
unknown_3,,133,587.904,826.801,854.084,1087.74,720.994,957.27,720.9939999999999,1087.74,0.4201,0.05,1.0,1.0,0.5334,False,far_outside_court_region
unknown_6,,133,1022.516,840.818,1139.806,1005.379,1081.161,923.099,1081.161,1005.379,0.4149,0.45,0.2909,1.0,0.5561,False,lower_ranked_player_candidate
