frame_index,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,confidence,class_name,player_side_guess,projected_x,projected_y
150,unknown_3,587.481,823.712,854.037,1086.293,720.759,955.003,0.3697,person,far_player,-121.111,494.777
150,unknown_7,2142.041,185.662,2213.941,343.824,2177.991,264.743,0.2971,person,far_player,181.099,-279.241
150,unknown_10,402.193,1040.46,579.367,1291.332,490.78,1165.896,0.2771,person,near_player,-134.293,609.054
150,unknown_8,1410.09,167.53,1472.509,333.83,1441.299,250.68,0.2632,person,far_player,-74.378,-275.613
165,player_2,2261.334,369.087,2338.507,555.868,2299.92,462.478,0.7181,person,far_player,217.52,18.402
165,unknown_6,1021.258,840.518,1139.456,1004.268,1080.357,922.393,0.4918,person,far_player,-57.046,438.369
165,player_1,1263.447,1475.258,1431.117,1861.472,1347.282,1668.365,0.4626,person,near_player,60.1,823.841
165,unknown_3,587.864,823.007,854.889,1086.087,721.377,954.547,0.4201,person,far_player,-121.016,494.645
165,unknown_4,1738.902,205.925,1831.02,340.97,1784.961,273.447,0.3909,person,far_player,45.172,-273.163
165,unknown_13,1265.88,1562.288,1412.587,1861.708,1339.233,1711.998,0.3823,person,near_player,58.918,823.97
165,unknown_5,2522.604,208.344,2601.313,352.971,2561.959,280.657,0.3567,person,far_player,313.599,-274.547
165,unknown_10,403.037,1040.045,577.097,1292.213,490.067,1166.129,0.2923,person,near_player,-134.293,609.494
165,unknown_7,2144.175,190.015,2210.809,344.104,2177.492,267.059,0.2912,person,far_player,180.928,-278.758
165,unknown_8,1410.946,167.274,1472.068,333.828,1441.507,250.551,0.2785,person,far_player,-74.307,-275.622
165,unknown_11,382.99,1052.221,528.937,1299.527,455.964,1175.874,0.2696,person,near_player,-139.524,613.414
180,player_2,2258.249,381.069,2331.508,555.726,2294.878,468.398,0.7205,person,far_player,216.045,18.337
180,player_1,1290.238,1468.856,1459.511,1853.028,1374.874,1660.942,0.5988,person,near_player,63.807,821.034
180,unknown_6,1027.306,843.472,1139.898,1007.136,1083.602,925.304,0.4776,person,far_player,-55.962,440.23
180,unknown_4,1728.129,212.57,1828.357,345.652,1778.243,279.111,0.4463,person,far_player,43.437,-265.199
180,unknown_3,585.347,828.996,851.103,1091.42,718.225,960.208,0.4278,person,far_player,-120.812,497.898
180,unknown_9,2.376,1466.247,276.326,1747.472,139.351,1606.86,0.3944,person,near_player,-131.494,796.094
180,unknown_5,2514.347,224.013,2601.118,357.554,2557.733,290.784,0.3843,person,far_player,311.636,-266.827
180,unknown_11,14.404,1466.786,229.001,1717.71,121.702,1592.248,0.2702,person,near_player,-137.932,786.256
180,unknown_8,1413.387,172.238,1474.74,335.775,1444.063,254.006,0.266,person,far_player,-72.989,-272.436
180,unknown_10,374.27,1063.621,532.891,1287.467,453.58,1175.544,0.2653,person,near_player,-141.823,607.526
180,unknown_14,359.359,1058.72,589.45,1308.203,474.405,1183.461,0.2652,person,near_player,-134.793,617.442
